ID;Name;Description;Bedrooms;Garage_Spots;Bathrooms;Address;Category;Value;Type;Status;Interested;Buyer
1;Apartamento Parque Residencial;Apartamento moderno com 3 quartos (1 suíte), sala ampla e cozinha americana;3;2;2;Rua das Flores, 123, Videira, SC;Apartamento;450000,00;Sale;Available;0;None
2;Apartamento Plaza Central;Apartamento no centro com 2 quartos, área de serviço e varanda;2;1;1;Avenida Brasil, 456, Videira, SC;Apartamento;1800,00;Rent;Available;0;None
3;Casa Familiar Jardim América;Casa espaçosa com 4 quartos, sala, copa, cozinha e área gourmet;4;3;3;Rua dos Ipês, 789, Videira, SC;Casa;680000,00;Sale;Available;0;None
4;Casa Bela Vista;Casa térrea com 2 quartos, quintal amplo e área de churrasco;2;2;1;Rua Bela Vista, 321, Videira, SC;Casa;2500,00;Rent;Available;0;None
5;Sítio Retiro Verde;Sítio com 5 hectares, casa principal com 3 quartos, pomar e área para animais;3;4;2;Estrada SC-135, Km 8, Videira, SC;Sítio/Fazenda;850000,00;Sale;Available;0;None
6;Escritório Comercial Centro;Escritório comercial de 45m² com ar condicionado e internet;0;1;1;Rua Comercial, 555, Videira, SC;Escritório Comercial;1200,00;Rent;Available;0;None
7;Galpão Industrial Zona Norte;Galpão de 500m² com pé-direito alto, escritório e pátio para manobras;0;10;2;Rua Industrial, 200, Videira, SC;Galpão;4500,00;Rent;Available;0;None
8;Terreno Residencial Plano;Terreno plano de 450m² em loteamento aprovado, com toda infraestrutura;0;0;0;Rua Projetada A, Lote 15, Videira, SC;Terreno;120000,00;Sale;Available;0;None
9;Loja Centro Comercial;Loja de 80m² em shopping center, com vitrine e estoque;0;0;1;Shopping Center, Loja 205, Videira, SC;Loja Comercial;3500,00;Rent;Available;0;None
10;Cobertura Luxo;Cobertura duplex com 3 suítes, varanda gourmet e vista panorâmica;3;3;4;Avenida Premium, 1501, Videira, SC;Cobertura;1200000,00;Sale;Available;0;None
11;Chácara Recanto Verde;Chácara de 2 hectares com casa de campo, lago e área de camping;2;2;1;Estrada Rural, Km 5, Videira, SC;Chácara;550000,00;Sale;Available;0;None
